"Year","Name","Count","Sex","Prop"
2000,"JAKUB",14497,"M",7349.07
2000,"MATEUSZ",11454,"M",5806.46
2000,"KACPER",8898,"M",4510.73
2000,"MICHAŁ",8498,"M",4307.95
2000,"PATRYK",7743,"M",3925.22
2000,"DAWID",7063,"M",3580.5
2000,"KAMIL",6842,"M",3468.47
2000,"PIOTR",5608,"M",2842.91
2000,"SZYMON",5486,"M",2781.06
2000,"PAWEŁ",5109,"M",2589.94
2000,"MACIEJ",4596,"M",2329.88
2000,"BARTOSZ",4544,"M",2303.52
2000,"DAMIAN",4514,"M",2288.32
2000,"DOMINIK",4488,"M",2275.14
2000,"ADRIAN",4302,"M",2180.84
2000,"MARCIN",3773,"M",1912.67
2000,"ŁUKASZ",3683,"M",1867.05
2000,"KRZYSZTOF",3599,"M",1824.47
2000,"DANIEL",3564,"M",1806.73
2000,"SEBASTIAN",3559,"M",1804.19
2000,"TOMASZ",3353,"M",1699.76
2000,"FILIP",3337,"M",1691.65
2000,"ADAM",3267,"M",1656.16
2000,"BARTŁOMIEJ",3178,"M",1611.05
2000,"KAROL",3084,"M",1563.4
2000,"MIKOŁAJ",3083,"M",1562.89
2000,"KRYSTIAN",3037,"M",1539.57
2000,"HUBERT",2861,"M",1450.35
2000,"KONRAD",2667,"M",1352
2000,"WOJCIECH",2640,"M",1338.31
2000,"RAFAŁ",2331,"M",1181.67
2000,"JAN",2259,"M",1145.17
2000,"PRZEMYSŁAW",2115,"M",1072.17
2000,"OSKAR",1785,"M",904.88
2000,"GRZEGORZ",1712,"M",867.88
2000,"WIKTOR",1707,"M",865.34
2000,"ARKADIUSZ",1513,"M",767
2000,"ALEKSANDER",1340,"M",679.3
2000,"ARTUR",1329,"M",673.72
2000,"RADOSŁAW",1287,"M",652.43
2000,"ROBERT",1110,"M",562.7
2000,"MAREK",1057,"M",535.83
2000,"ERYK",1028,"M",521.13
2000,"MARCEL",965,"M",489.19
2000,"NORBERT",926,"M",469.42
2000,"MARIUSZ",822,"M",416.7
2000,"ANDRZEJ",783,"M",396.93
2000,"MAKSYMILIAN",769,"M",389.83
2000,"JACEK",757,"M",383.75
2000,"MIŁOSZ",745,"M",377.67
2000,"DARIUSZ",717,"M",363.47
2000,"CEZARY",695,"M",352.32
2000,"IGOR",693,"M",351.31
2000,"BŁAŻEJ",658,"M",333.56
2000,"GABRIEL",564,"M",285.91
2000,"JAROSŁAW",459,"M",232.68
2000,"ALAN",428,"M",216.97
2000,"STANISŁAW",422,"M",213.93
2000,"GRACJAN",375,"M",190.1
2000,"NIKODEM",375,"M",190.1
2000,"EMIL",369,"M",187.06
2000,"ALBERT",367,"M",186.05
2000,"ANTONI",327,"M",165.77
2000,"DENIS",282,"M",142.96
2000,"ERNEST",281,"M",142.45
2000,"FABIAN",277,"M",140.42
2000,"SŁAWOMIR",277,"M",140.42
2000,"TOBIASZ",277,"M",140.42
2000,"TYMOTEUSZ",269,"M",136.37
2000,"OLAF",261,"M",132.31
2000,"JĘDRZEJ",256,"M",129.78
2000,"SYLWESTER",256,"M",129.78
2000,"FRANCISZEK",248,"M",125.72
2000,"SEWERYN",247,"M",125.21
2000,"REMIGIUSZ",246,"M",124.71
2000,"KAJETAN",239,"M",121.16
2000,"KUBA",202,"M",102.4
2000,"KORNEL",195,"M",98.85
2000,"KEWIN",189,"M",95.81
2000,"BRAJAN",184,"M",93.28
2000,"JULIAN",164,"M",83.14
2000,"MARTIN",161,"M",81.62
2000,"KEVIN",159,"M",80.6
2000,"DORIAN",151,"M",76.55
2000,"CYPRIAN",145,"M",73.51
2000,"JANUSZ",143,"M",72.49
2000,"MARCELI",142,"M",71.99
2000,"WITOLD",140,"M",70.97
2000,"AMADEUSZ",137,"M",69.45
2000,"NATAN",129,"M",65.39
2000,"OLIWIER",117,"M",59.31
2000,"MIROSŁAW",116,"M",58.8
2000,"DAVID",115,"M",58.3
2000,"JERZY",114,"M",57.79
2000,"BENIAMIN",105,"M",53.23
2000,"ROMAN",100,"M",50.69
2000,"ZBIGNIEW",99,"M",50.19
2000,"SAMUEL",98,"M",49.68
2000,"BORYS",95,"M",48.16
2000,"KORDIAN",88,"M",44.61
2000,"JÓZEF",86,"M",43.6
2000,"JULIUSZ",83,"M",42.08
2000,"ALEKS",82,"M",41.57
2000,"OLIWER",82,"M",41.57
2000,"SZCZEPAN",81,"M",41.06
2000,"TADEUSZ",79,"M",40.05
2000,"IGNACY",77,"M",39.03
2000,"KLAUDIUSZ",77,"M",39.03
2000,"MAKSYM",77,"M",39.03
2000,"NICOLAS",77,"M",39.03
2000,"RYSZARD",76,"M",38.53
2000,"ALEXANDER",75,"M",38.02
2000,"BRUNO",75,"M",38.02
2000,"JONASZ",74,"M",37.51
2000,"WALDEMAR",71,"M",35.99
2000,"ALEKSY",70,"M",35.49
2000,"MICHAEL",70,"M",35.49
2000,"ALEX",67,"M",33.96
2000,"BOGDAN",66,"M",33.46
2000,"EMANUEL",65,"M",32.95
2000,"JONATAN",64,"M",32.44
